,Condition,Generalization,Modality,Numeric quantifier,Num Vague Terms,Percentage Vague
BYJU'S–TheLearningApp.txt,7.920792079207921,2.9702970297029703,64.35643564356435,24.752475247524753,101,2.949766355140187
FLStudioMobile.txt,0.0,0.0,100.0,0.0,3,1.1235955056179776
RhythmwithTabla&TanpuraPREMIUM.txt,12.5,6.25,50.0,31.25,16,3.864734299516908
CryptoTabBrowserPro—mineonaPROlevel.txt,11.11111111111111,0.0,77.77777777777777,11.11111111111111,9,3.7344398340248963
KWGTKustomWidgetProKey.txt,11.764705882352942,5.882352941176471,47.05882352941177,35.294117647058826,17,3.142329020332717
ShareChat-MadeinIndia.txt,10.344827586206897,0.0,70.6896551724138,18.96551724137931,58,3.193832599118943
QuickHealTotalSecurity.txt,8.695652173913043,0.0,78.26086956521739,13.043478260869565,23,2.7611044417767108
GameBooster4xFasterPro-GFXTool&LagFix.txt,9.67741935483871,3.225806451612903,61.29032258064516,25.806451612903224,31,4.105960264900662
PowerampFullVersionUnlocker.txt,14.814814814814815,5.555555555555555,59.25925925925926,20.37037037037037,54,3.8932948810382118
SAXVideoPlayer-AllinoneHdFormatpro2021.txt,0.0,0.0,100.0,0.0,1,0.7092198581560284
"MVBitmaster,MVmastervideostatusmaker-MVBit.txt",6.451612903225806,3.225806451612903,64.51612903225806,25.806451612903224,31,1.7603634298693924
Vido:LyricalVideoStatusMaker.txt,8.333333333333334,0.0,75.0,16.666666666666668,12,4.240282685512367
InternetOptimizerPro|No-Ads.txt,11.764705882352942,5.882352941176471,47.05882352941177,35.294117647058826,17,4.260651629072682
TorquePro(OBD2&Car).txt,20.0,0.0,60.0,20.0,5,3.4722222222222223
GameBoosterVIP-FreeFireGFX-LagFix.txt,25.0,0.0,75.0,0.0,4,2.0725388601036268
"Biugo-videomaker,photovideomaker,videoeditor.txt",13.68421052631579,2.1052631578947367,65.26315789473684,18.94736842105263,95,4.593810444874275
GooglePay-asimpleandsecurepaymentapp.txt,8.791208791208792,2.197802197802198,70.32967032967034,18.681318681318682,91,3.910614525139665
"Meesho-Resell,WorkFromHome,EarnMoneyOnline.txt",12.5,4.166666666666667,58.333333333333336,25.0,24,5.9405940594059405
FrancoKernelManager-foralldevices&kernels.txt,0.0,0.0,100.0,0.0,1,2.5641025641025643
VPNPro-FreeforLifetime.txt,14.285714285714286,0.0,71.42857142857143,14.285714285714286,7,3.5
WynkMusic-NewMP3HindiTamilSong&PodcastApp.txt,5.0,2.5,75.0,17.5,40,5.390835579514825
FluidWalls-4KLiquidStyleWallpapers.txt,12.5,4.166666666666667,64.58333333333333,18.75,48,4.833836858006042
"KineMaster-VideoEditor,VideoMaker.txt",25.0,0.0,68.75,6.25,32,2.5316455696202533
Telegram.txt,9.333333333333334,1.3333333333333333,77.33333333333333,12.0,75,3.746253746253746
InstagramLite.txt,6.4935064935064934,3.896103896103896,80.51948051948052,9.090909090909092,77,3.574744661095636
SnackyTakatak.txt,4.761904761904762,0.0,61.904761904761905,33.333333333333336,21,3.0
"AmazonShopping,UPI,MoneyTransfer,BillPayment.txt",4.615384615384615,3.076923076923077,56.92307692307692,35.38461538461539,65,2.8609154929577465
AmazonPrimeVideo.txt,4.411764705882353,2.9411764705882355,58.8235294117647,33.8235294117647,68,2.859545836837679
MXPlayerPro.txt,12.32876712328767,2.73972602739726,64.38356164383562,20.54794520547945,73,4.667519181585678
FreeVPNTomato|FastestFreeHotspotVPNProxy.txt,0.0,0.0,100.0,0.0,1,0.4854368932038835
Instagram.txt,6.4935064935064934,3.896103896103896,80.51948051948052,9.090909090909092,77,3.574744661095636
Hotstar.txt,8.333333333333334,3.125,72.91666666666667,15.625,96,4.925602873268343
Tasker.txt,0.0,0.0,55.55555555555556,44.44444444444444,9,4.147465437788019
VPNMaster-Free&Fast&SecureVPNProxy.txt,12.5,6.25,50.0,31.25,16,4.123711340206185
"ShareKaro-Share&FileTransferApp,Shareit.txt",33.333333333333336,5.555555555555555,27.77777777777778,33.333333333333336,18,3.896103896103896
NavigationPro:GoogleMapsNavionSamsungWatch.txt,12.5,6.25,50.0,31.25,16,3.9215686274509802
Moj-SnackonIndianShortVideos|MadeinIndia.txt,14.035087719298245,1.7543859649122806,70.17543859649123,14.035087719298245,57,3.1130529765155655
MXTakaTakShortVideoApp|MadeinIndiaforYou.txt,4.761904761904762,0.0,61.904761904761905,33.333333333333336,21,3.0
InternetSpeedMeter.txt,20.0,0.0,40.0,40.0,5,4.424778761061947
Josh-SnackonShortVideoswithTopIndianApp.txt,6.329113924050633,0.0,81.0126582278481,12.658227848101266,79,4.858548585485855
TouchRetouch.txt,13.953488372093023,0.0,60.46511627906977,25.58139534883721,43,3.6317567567567566
ShareMe-India'sbestfiletransferapp.txt,16.363636363636363,1.8181818181818181,63.63636363636363,18.181818181818183,110,4.166666666666667
VideoEditor&VideoMaker-InShot.txt,0.0,0.0,80.0,20.0,5,3.1645569620253164
"JioSaavnMusic&Radio–JioTunes,Podcasts,Songs.txt",6.097560975609756,3.048780487804878,71.95121951219512,18.902439024390244,164,5.165354330708661
Dailyhunt-100%IndianAppforNews&Videos.txt,6.410256410256411,0.0,80.76923076923077,12.820512820512821,78,4.770642201834862
"MXPlayer:VideoPlayer,Movies,Songs&GamesApp.txt",12.32876712328767,2.73972602739726,64.38356164383562,20.54794520547945,73,4.667519181585678
PGT+🔧:ProGFX&Optimizer(withadvancesetting).txt,22.22222222222222,0.0,44.44444444444444,33.333333333333336,9,4.285714285714286
"PhonePe–UPI,Recharges,Investments&Insurance.txt",10.294117647058824,4.411764705882353,58.8235294117647,26.470588235294116,68,2.77437780497756
"AirtelThanks-Recharge,BillPay,Bank,LiveTV.txt",5.128205128205129,0.0,82.05128205128206,12.820512820512821,39,4.239130434782608
Facebook.txt,6.4935064935064934,3.896103896103896,80.51948051948052,9.090909090909092,77,3.440571939231457
DiskDiggerProfilerecovery.txt,0.0,0.0,100.0,0.0,2,1.0471204188481675
"1DM+[formerlyIDM+]:Video,TorrentDownloader.txt",0.0,12.5,75.0,12.5,8,2.43161094224924
"Noizz-videoeditor,videomakerphotoswithsong.txt",13.68421052631579,2.1052631578947367,65.26315789473684,18.94736842105263,95,4.596032897919691
GaanaMusicHindiSongFreeTamilTeluguMP3App.txt,14.925373134328359,2.985074626865672,64.17910447761194,17.91044776119403,67,5.141980046047583
"ZEE5:Movies,TVShows,WebSeries.txt",14.285714285714286,1.7857142857142858,67.85714285714286,16.071428571428573,56,4.1420118343195265
"Truecaller:CallerID,SpamBlocking&Chat.txt",7.8431372549019605,0.0,73.85620915032679,18.30065359477124,153,4.7412457390765415
"JioTV–News,Movies,Entertainment,LIVETV.txt",5.882352941176471,1.9607843137254901,78.43137254901961,13.72549019607843,51,4.318374259102455
CrayonIconPack.txt,11.764705882352942,5.882352941176471,47.05882352941177,35.294117647058826,17,4.3478260869565215
